word,text_index,tag,freq,lemma,is_new_paragraph,sentence_number,completed_words
leones,1,NCMP000,48,leon,0,6,[arboles axolotl otros axolotl axolotls inviernos jardines axolotls axolotl axolotl ojos axolotl axolotl arboles axolotl axolotl]
Era,1,VSII1S0,8470,ser,0,7,[ellos luego era seguí entonces después entonces pensé en después mientras entonces ellos entonces allí los cuando me de entonces la]
amigo,1,NCMS000,674,amigo,0,7,
de,1,SPS00,262147,de,0,7,
los,1,DA0MP0,79125,el,0,7,[muchos la un juan ellos uno ellos ellos un madrugar los pedro la ellos todos la un los un]
leones,1,NCMP000,48,leon,0,7,[leones leones gorriones negros leones leones pájaros cuidadores leones animales guardias]
y,1,CC,140290,y,0,7,[de y nuevamente ahora y viejos de ellos desde del y y y y]
las,1,DA0FP0,51322,el,0,7,
panteras,1,NCFP000,9,pantera,0,7,
pero,1,CC,18593,pero,0,7,
nunca,1,RG,3224,nunca,0,7,
había,1,VAII1S0,10950,haber,0,7,[había vi fui supe quise había supe había fui se de fui de]
entrado,1,VMP00SM,161,entrar,0,7,
en,1,SPS00,116148,en,0,7,
el,1,DA0MS0,139088,el,0,7,
húmedo,1,AQ0MS0,82,humedo,0,7,
y,1,CC,140290,y,0,7,
oscuro,1,AQ0MS0,278,oscuro,0,7,
edificio,1,NCMS000,329,edificio,0,7,
de,1,SPS00,262147,de,0,7,
los,1,DA0MP0,79125,el,0,7,
acuarios,1,NCMP000,1,acuario,0,7,[axolotls parisinos axolotl reptiles axolotl cocodrilos anfibios animales animales felinos peces axolotl axolotl]
Dejé,1,VMIS1S0,103,dejar,0,8,
mi,1,DP1CSS,9295,mi,0,8,
bicicleta,1,NCFS000,67,bicicleta,0,8,
contra,1,SPS00,2857,contra,0,8,
las,1,DA0FP0,51322,el,0,8,
rejas,1,NCFP000,24,reja,0,8,
y,1,CC,140290,y,0,8,
fui,1,VMIS1S0,272,ir,0,8,
a,1,SPS00,91082,a,0,8,
ver,1,VMN0000,2471,ver,0,8,[correr nadar ver ver verlos pagar observar explorar verlos la parís ver la]
los,1,DA0MP0,79125,el,0,8,
tulipanes,1,NCMP000,9,tulipan,0,8,
Los,1,DA0MP0,79125,el,0,9,[una allí allí con entonces ahí así eran entre mientras entonces allí allí camine entre los cuando los]
leones,1,NCMP000,48,leon,0,9,[tulipanes primeros animales peces colores axolotls peces tulipanes tulipanes caminos leones axolotl axolotl leones tulipanes acuarios tulipanes rayos animales jardines que tulipanes bellos axolotl]
estaban,1,VAII3P0,1070,estar,0,9,[de estaban eran se dormitaban me estaban estaban estaban eran los se estaban estaban y estaban eran]
feos,1,AQ0MP0,12,feo,0,9,[durmiendo hambrientos atentos durmiendo dormidos sentados dormidos durmiendo hambrientos durmiendo somnolientos tristes dormidos durmiendo ahí durmiendo dormidos como]
y,1,CC,140290,y,0,9,
tristes,1,AQ0CP0,63,triste,0,9,
y,1,CC,140290,y,0,9,
mi,1,DP1CSS,9295,mi,0,9,
pantera,1,NCFS000,35,pantera,0,9,
dormía,1,VMII3S0,105,dormir,0,9,
Opté,1,VMIS1S0,11,optar,0,10,
por,1,SPS00,39975,por,0,10,
los,1,DA0MP0,79125,el,0,10,[entrar mirar caminar recorrer ir no esperar caminar ir ir ir pasear entrar]
acuarios,1,NCMP000,1,acuario,0,10,[acuarios axolotl acuarios osos leones peces monos axolotl monos peces peces monos animales peces tigres acuarios mas]
soslayé,1,VMIS1S0,1,soslayar,0,10,[porque entre inmóviles oscuros que quimeras nunca esos luego porque entonces me el]
peces,1,NCMP000,95,pez,0,10,[entonces una el dubitativo peces el peces que a los a la otra los tranquilo algo sobre un de un un de]
vulgares,1,AQ0CP0,30,vulgar,0,10,
hasta,1,SPS00,6422,hasta,0,10,
dar,1,VMN0000,1396,dar,0,10,
inesperadamente,1,RG,43,inesperadamente,0,10,
con,1,SPS00,47141,con,0,10,
los,1,DA0MP0,79125,el,0,10,
axolotl,1,NCMS000,1,axolotl,0,10,[axolotl delfines axolotl axolotl crustáceos fascinantes axolotls reptiles axolotls ojos que axolotl axolotl axolotls axolotl axolotl que]
Me,1,PP1CS000,18401,me,0,11,
quedé,1,VMIS1S0,110,quedar,0,11,
una,1,DI0FS0,43026,uno,0,11,[paralizado mirándolos cerca pasmado estupefacto mirándolos observándolos asombrado asombrado atónito mirando mirando mirándolos fascinado pasmado mirándolos]
hora,1,NCFS000,1207,hora,0,11,[hora hora hora hora hora eternidad hora hora hora hora hora hora imagen hora hora hora hora tarde hora hora hora noche]
mirándolos,1,VMG0000,4,mirar,0,11,[observando contemplándolos mirándolos mirándolos mirando observándolos mirándolos mirándolos mirándolos contemplando observando observándolos mirando mirando mirándolos mirando observándolos mirándolos mirando en]
y,1,CC,140290,y,0,11,[eran pensando contemplándolos absorto ellos inmóvil sentado hermosos inmóvil encantado]
salí,1,VMIS1S0,99,salir,0,11,
incapaz,1,AQ0CS0,214,incapaz,0,11,
de,1,SPS00,262147,de,0,11,
otra,1,DI0FS0,2849,otro,0,11,
