#texto,#palabra,palabra,cloze_entropy,zeros,2gram_entropy,#texto,#palabra,palabra,prob_cloze,prob_cache,prob2gram
1,160,que,-0.426949588776,0,-2.22299534174,1,160,que,0.615384615385,0.0116279069767,0.520532
1,161,los,-0.378609887261,0,-1.03150973735,1,161,los,0.722222222222,0.0520231213873,0.0195507
1,162,axolotl,-0.245847912714,0,-1.01039167326,1,162,axolotl,0.8,0.0172413793103,1.79476e-09
1,163,son,-0.294232081372,0,-1.40377536685,1,163,son,0.388888888889,0.00571428571429,0.000643719
1,164,formas,-0.667939311254,0,-1.03378409476,1,164,formas,0.0526315789474,0.00568181818182,0.00066279
1,167,de,-0.124571284653,0,-7.20354530185,1,167,de,0.846153846154,0.0446927374302,0.897959
1,168,branquias,-0.994218615974,0,-1.06542339983,1,168,branquias,0.263157894737,0.00555555555556,1.14772e-06
1,169,de,-0.864901526296,0,-1.06466553842,1,169,de,0.142857142857,0.0497237569061,0.0242606
1,177,Que,-1.24714158616,0,-1.03008069071,1,177,Que,0.0833333333333,0.0157894736842,0.0257738
1,178,eran,-0.94994201322,0,-1.03150973735,1,178,eran,0.0588235294118,0.00523560209424,0.00196574
1,179,mexicanos,-1.12886248374,0,-1.02977197575,1,179,mexicanos,0.0588235294118,0.00520833333333,4.58203e-06
1,180,lo,-0.726412001554,0,-1.08716178881,1,180,lo,0.0434782608696,0.00518134715026,0.00184935
1,181,sabía,-0.811414867283,0,-1.27462507396,1,181,sabía,0.428571428571,0.00515463917526,0.00606752
1,182,ya,-0.887346954847,0,-1.96955597763,1,182,ya,0.2,0.00512820512821,0.00463927
1,189,rostros,-0.810487321083,0,-1.03365092518,1,189,rostros,0.133333333333,0.0049504950495,0.00111832
1,190,rosados,-0.928694124206,0,-1.14151861442,1,190,rosados,0.0714285714286,0.00492610837438,8.90431e-05
1,191,aztecas,-0.909729266424,0,-1.24002087965,1,191,aztecas,0.153846153846,0.00490196078431,2.71021e-07
1,192,y,-0.690105620856,0,-1.05510346612,1,192,y,0.461538461538,0.0487804878049,0.107931
1,199,acuario,-0.585418086877,0,-1.00567452687,1,199,acuario,0.578947368421,0.00471698113208,2.79225e-05
1,203,han,-1.15933499189,0,-1.01096614299,1,203,han,0.04,0.00460829493088,0.00591856
1,204,encontrado,-0.905256346251,0,-1.038070241,1,204,encontrado,0.0555555555556,0.0045871559633,0.0110823
1,205,ejemplares,-1.07542046568,0,-1.10477325088,1,205,ejemplares,0.0555555555556,0.00456621004566,1.82505e-06
1,206,en,-0.65889056153,0,-1.50525357649,1,206,en,0.5,0.0272727272727,0.0423913
1,207,África,-1.02663789081,0,-1.16043953167,1,207,África,0.166666666667,0.00452488687783,0.000205497
1,208,capaces,-0.65889056153,0,-1.18057940525,1,208,capaces,0.0714285714286,0.0045045045045,1.01987e-05
1,209,de,-0.0803042631216,0,-8.49099847474,1,209,de,0.913043478261,0.0493273542601,0.949047
1,221,su,-0.762854213403,0,-1.03800225097,1,221,su,0.0555555555556,0.00851063829787,0.0167715
1,222,vida,-0.629729821638,0,-1.00729300528,1,222,vida,0.529411764706,0.00423728813559,0.0165232
1,223,en,-0.869951655416,0,-1.07465287916,1,223,en,0.391304347826,0.0337552742616,0.0651624
1,225,agua,-0.623418248469,0,-1.00486663799,1,225,agua,0.571428571429,0.00418410041841,0.00515145
1,242,son,-0.53310924977,0,-1.03150973735,1,242,son,0.0909090909091,0.00389105058366,0.00267573
1,270,al,-0.34320901776,0,-2.72641966438,1,270,al,0.214285714286,0.00699300699301,0.0475968
1,271,día,-0.644691716425,0,-1.01238131011,1,271,día,0.0714285714286,0.00348432055749,0.0109964
1,272,siguiente,0.0,0,-1.1117784943,1,272,siguiente,0.928571428571,0.00347222222222,0.117383
1,276,Plantes,-0.363499363968,0,-1.02158407965,1,276,Plantes,0.692307692308,0.00342465753425,0.00620796
1,277,Empecé,-0.927323061382,0,-1.03008069071,1,277,Empecé,0.0526315789474,0.00340136054422,0.000101056
1,278,a,-0.60871459435,0,-6.93998124311,1,278,a,0.545454545455,0.00677966101695,0.886432
1,279,ir,-0.694532967078,0,-1.07420526797,1,279,ir,0.0555555555556,0.00337837837838,0.00112404
1,280,todas,-0.978347485908,0,-1.75684632171,1,280,todas,0.0588235294118,0.003367003367,0.000158602
1,283,a,-1.06763104528,0,-1.08370810169,1,283,a,0.142857142857,0.01,0.0683454
1,284,veces,-0.847793040301,0,-1.07420526797,1,284,veces,0.0555555555556,0.00332225913621,0.00842756
1,285,de,-0.975006431231,0,-1.04317858071,1,285,de,0.0714285714286,0.0562913907285,0.0261354
1,286,mañana,-0.72571170639,0,-1.06542339983,1,286,mañana,0.08,0.003300330033,0.000146345
1,287,y,-0.806771385781,0,-1.08977213736,1,287,y,0.294117647059,0.0427631578947,0.0562717
1,290,El,-1.05567926079,0,-1.03008069071,1,290,El,0.0625,0.0194805194805,0.0386971
1,291,guardián,-0.872206603195,0,-1.00486663799,1,291,guardián,0.0434782608696,0.00323624595469,0.000255334
1,292,de,-0.791482882457,0,-1.28775428387,1,292,de,0.15,0.0612903225806,0.264928
1,293,los,-0.686660291071,0,-1.06542339983,1,293,los,0.2,0.0353697749196,0.0546509
1,294,acuarios,-0.785862056241,0,-1.01039167326,1,294,acuarios,0.266666666667,0.00641025641026,7.49233e-06
1,295,sonreía,-0.644691716425,0,-1.26105493679,1,295,sonreía,0.0714285714286,0.00319488817891,1.36608e-05
1,301,Me,-0.939794000867,0,-1.03008069071,1,301,Me,0.181818181818,0.0125,0.00953055
1,302,apoyaba,-1.04139268516,0,-1.0108353523,1,302,apoyaba,0.0833333333333,0.00311526479751,5.38511e-05
1,303,en,-0.548185242461,0,-1.42645650296,1,303,en,0.5,0.027950310559,0.316176
1,310,los,-0.514995218304,0,-2.03700683577,1,310,los,0.0526315789474,0.0364741641337,0.0834447
1,311,acuarios,-0.571383040046,0,-1.01039167326,1,311,acuarios,0.555555555556,0.00909090909091,7.49233e-06
1,312,y,-0.762854213403,0,-1.26105493679,1,312,y,0.388888888889,0.0422960725076,0.22415
1,320,de,-0.65889056153,0,-1.15642106545,1,320,de,0.0714285714286,0.0617647058824,0.14705
1,321,extraño,-0.749129659375,0,-1.06542339983,1,321,extraño,0.315789473684,0.00293255131965,4.78649e-05
1,322,en,-0.232764926404,0,-1.10903875971,1,322,en,0.785714285714,0.0292397660819,0.0498169
